#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord      ---- domain strat stats ----- 
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc   q-value local FDR  FDR|lFDR description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- --------- --------- --------- ---------------------
HHH_2                PF12826.7     64 PF3D7_0203300        -            242   1.2e-06   14.9   0.0   1   1   3.7e-06   3.7e-06   13.3   0.0    18    58   200   240   190   241 0.88      0.02       0.2    0.0066 Helix-hairpin-helix motif
DUF4194              PF13835.6    166 PF3D7_0830600        -            456   2.6e-06   13.5   0.5   1   1   9.1e-06   9.1e-06   11.7   0.1    96   140   295   339   289   344 0.92      0.05         1         1 Domain of unknown function (DUF4194)
PRESAN               PF09687.10   125 PF3D7_0830600        -            456   9.9e-26   77.0  17.8   1   1   9.9e-26   9.9e-26   77.0  17.8     3   125   321   443   319   443 0.97   2.3e-23   1.5e-22   9.1e-25 Plasmodium RESA N-terminal
ATS                  PF15445.6    446 PF3D7_0400200        -            399  4.3e-209  681.4  31.9   1   1  4.9e-209  4.9e-209  681.3  31.9    20   446     1   399     1   399 0.98  5.4e-207    1e-204    5e-207 acidic terminal segments, variant surface antigen of PfEMP1
DUF966               PF06136.13   377 PF3D7_0215600        -            403   1.8e-07   17.2  28.8   1   1   2.4e-07   2.4e-07   16.8  28.8    93   265    33   227    21   292 0.51    0.0013     0.045    0.0013 Domain of unknown function (DUF966)
Steroid_dh           PF02544.16   150 PF3D7_0215600        -            403   6.6e-06   12.4  10.0   1   1   3.6e-06   3.6e-06   13.2   7.8    40    97   248   308   233   352 0.72    0.0065         1         1 3-oxo-5-alpha-steroid 4-dehydrogenase
AAA_18               PF13238.6    130 PF3D7_1208500        -           1753   7.1e-09   22.5   0.1   1   1   7.1e-09   7.1e-09   22.5   0.1     2    69    66   129    65   206 0.88   1.9e-05    0.0015   4.7e-05 AAA domain
AAA_assoc_2          PF16193.5     81 PF3D7_1208500        -           1753   1.5e-05   11.6   0.0   1   1   7.1e-05   7.1e-05    9.4   0.0     9    38  1123  1152  1118  1178 0.77     0.043         1         1 AAA C-terminal domain
CENP-B_dimeris       PF09026.10   100 PF3D7_0323200        -            441   1.5e-07   18.1   3.8   1   1   1.5e-07   1.5e-07   18.1   3.8    16    65   114   168   101   196 0.69   0.00082    0.0034   0.00013 Centromere protein B dimerisation domain
Tir_receptor_M       PF03549.14    66 PF3D7_0323200        -            441   5.4e-06   13.0   0.5   1   1   5.4e-06   5.4e-06   13.0   0.5    10    45   169   204   165   216 0.86     0.029      0.34     0.009 Translocated intimin receptor (Tir) intimin-binding domain
Coa1                 PF08695.10   117 PF3D7_0323200        -            441   3.2e-07   16.4   0.5   1   1   7.1e-07   7.1e-07   15.3   0.5     4   115   333   437   330   439 0.84    0.0039         1         1 Cytochrome oxidase complex assembly protein 1
ORC3_N               PF07034.11   332 PF3D7_1029900        -           1697   7.4e-12   31.0   2.1   1   1   7.4e-12   7.4e-12   31.0   2.1   109   328   328   689   308   694 0.77     4e-08         1         1 Origin recognition complex (ORC) subunit 3 N-terminus
Bactofilin           PF04519.13    98 PF3D7_1029900        -           1697   6.7e-06   12.7   2.9   1   1   1.4e-05   1.4e-05   11.7   2.9    21    65   835   882   823   886 0.63     0.027     0.027   0.00084 Polymer-forming cytoskeletal
BUD22                PF09073.10   432 PF3D7_1029900        -           1697   1.3e-07   17.4  37.4   1   1   1.3e-07   1.3e-07   17.4  37.4    98   232  1158  1307  1129  1370 0.54   0.00018    0.0019   5.9e-05 BUD22
DUF1129              PF06570.11   206 PF3D7_0524200        -            154   4.1e-06   12.6   0.9   1   1   5.2e-06   5.2e-06   12.2   0.9    75   164    35   125    10   135 0.69     0.028         1         1 Protein of unknown function (DUF1129)
Helicase_IV_N        PF12462.8    162 PF3D7_0922700        -            343   1.9e-05   10.8   8.1   1   1   8.4e-06   8.4e-06   12.0   1.5    99   154     4    60     1    68 0.85     0.046         1         1 DNA helicase IV / RNA helicase N terminal
PRP4                 PF08799.11    29 PF3D7_0922700        -            343   1.5e-15   42.8   1.0   1   1   1.5e-15   1.5e-15   42.8   1.0     2    29    92   119    91   119 0.94   8.2e-12   3.6e-11   4.5e-13 pre-mRNA processing factor 4 (PRP4) like
Prp18                PF02840.15   143 PF3D7_0922700        -            343   1.4e-58  183.2   3.5   1   1   1.4e-58   1.4e-58  183.2   3.5     2   142   194   329   193   330 0.96   7.6e-55    0.0065    0.0002 Prp18 domain
OAD_gamma            PF04277.13    77 PF3D7_1241900        -            676   5.5e-05   10.1   4.2   1   1   1.9e-05   1.9e-05   11.5   0.5    17    57    15    55    10   100 0.67       0.1         1         1 Oxaloacetate decarboxylase, gamma chain
TPR_2                PF07719.17    34 PF3D7_1241900        -            676   7.5e-16   43.6   4.5   1   2   1.4e-07   1.4e-07   17.8   0.9     7    32   510   535   505   537 0.91   8.5e-05   0.00016   5.3e-06 Tetratricopeptide repeat
TPR_1                PF00515.28    34 PF3D7_1241900        -            676   4.8e-17   47.5  12.1   2   3   3.3e-06   3.3e-06   13.2   0.0     3    34   543   574   541   574 0.94    0.0011      0.01   0.00031 Tetratricopeptide repeat
TPR_2                PF07719.17    34 PF3D7_1241900        -            676   7.5e-16   43.6   4.5   2   2   2.7e-09   2.7e-09   23.2   0.2     1    33   575   607   575   608 0.96   1.5e-05   1.6e-05   1.8e-07 Tetratricopeptide repeat
Ribosomal_L5         PF00281.19    57 PF3D7_0719600        -            173   4.2e-23   67.8   0.1   1   1   7.5e-23   7.5e-23   67.0   0.1     1    57     7    60     7    60 0.99   4.1e-19         1         1 Ribosomal protein L5
Ribosomal_L5_C       PF00673.21    94 PF3D7_0719600        -            173   1.4e-27   82.0   0.1   1   1   3.2e-27   3.2e-27   80.9   0.0     1    94    64   162    64   162 0.91   1.7e-23         1         1 ribosomal L5P family C-terminus
DUF1084              PF06454.11   273 PF3D7_0908300.1      -            305   1.5e-19   56.5  22.1   1   1   1.5e-19   1.5e-19   56.5  22.1    86   266    85   272    39   279 0.80   8.2e-16   9.2e-10     6e-12 Protein of unknown function (DUF1084)
zf-met2              PF12907.7     38 PF3D7_0710500        -            255     2e-07   17.4   3.4   1   1   3.2e-05   3.2e-05   10.3   0.1     3    26     5    28     5    33 0.91     0.058         1         1 Zinc-binding
DUF1463              PF07316.11   137 PF3D7_0710500        -            255   5.8e-05    9.2  13.1   1   1   5.3e-05   5.3e-05    9.3   1.5    32   106    48   133    43   143 0.74      0.29         1         1 Protein of unknown function (DUF1463)
DUF520               PF04461.13   161 PF3D7_0710500        -            255   4.2e-05    9.9   3.0   1   1   1.5e-05   1.5e-05   11.3   0.1    92   147   154   209   104   221 0.82     0.027         1         1 Protein of unknown function (DUF520)
Acyltransf_C         PF16076.5     74 PF3D7_1305000        -           1479   2.1e-05   10.9   0.2   1   1   8.8e-05   8.8e-05    8.9   0.2    29    49   508   528   503   559 0.74      0.16         1         1 Acyltransferase C-terminus
Mcl1_mid             PF12341.8    297 PF3D7_1305000        -           1479   1.8e-52  164.6   0.1   1   1   3.9e-52   3.9e-52  163.5   0.1     5   266   777  1053   774  1065 0.87   2.1e-48         1         1 Minichromosome loss protein, Mcl1, middle region
SecD_SecF            PF02355.16   189 PF3D7_0804700        -           1998   3.1e-05    9.6   2.9   1   1   7.9e-05   7.9e-05    8.2   0.3    99   137    63   100    62   108 0.68      0.43         1         1 Protein export membrane protein
DUF4639              PF15479.6    580 PF3D7_0608600        -            283   1.5e-05   10.2   8.7   1   1   2.1e-05   2.1e-05    9.7   8.7   141   374    20   241    14   254 0.62      0.11         1         1 Domain of unknown function (DUF4639)
LisH                 PF08513.11    27 PF3D7_1336400        -            282   7.5e-06   12.2   0.6   1   1   3.1e-05   3.1e-05   10.3   0.1     3    27    33    57    31    57 0.87     0.056         1         1 LisH
CLTH                 PF10607.9    148 PF3D7_1336400        -            282   1.6e-25   76.0  13.1   1   1   1.6e-25   1.6e-25   76.0  13.1     2   141    68   205    67   212 0.93   8.7e-22   4.3e-21   2.6e-23 CTLH/CRA C-terminal to LisH motif domain
Oxygenase-NA         PF09859.9    172 PF3D7_1030500        -            393   3.7e-05    9.5   0.1   1   1   7.3e-05   7.3e-05    8.5   0.1     3    81    68   146    66   169 0.75      0.17      0.17    0.0056 Oxygenase, catalysing oxidative methylation of damaged DNA
PCI                  PF01399.27   105 PF3D7_1030500        -            393   1.7e-13   37.3   2.6   1   1   1.7e-13   1.7e-13   37.3   2.6     3   103   246   349   244   351 0.94   1.3e-10   7.2e-09     7e-11 PCI domain
CoA_binding          PF02629.19    96 PF3D7_1108500        -            327   2.8e-30   91.2   1.7   1   1   4.7e-30   4.7e-30   90.5   0.1     1    96    27   126    27   126 0.99   2.6e-26         1         1 CoA binding domain
Ligase_CoA           PF00549.19   153 PF3D7_1108500        -            327   1.1e-26   79.6   0.1   1   1   1.8e-26   1.8e-26   79.0   0.1     1   152   179   306   179   307 0.95   9.8e-23   6.5e-20   3.9e-22 CoA-ligase
Stevor               PF17410.2    275 PF3D7_0832000        -            303  2.6e-107  344.5  14.5   1   1    3e-107    3e-107  344.3  14.5     2   275    25   303    24   303 0.97  4.9e-105  1.6e-103  1.1e-105 Subtelomeric Variable Open Reading frame
Hpr_kinase_N         PF02603.16   125 PF3D7_1452200        -            524   6.9e-06   12.4   0.0   1   1   1.9e-05   1.9e-05   10.9   0.0    48    96    13    62     4    72 0.81       0.1         1         1 HPr Serine kinase N terminus
AAA                  PF00004.29   132 PF3D7_0313400        -            784   8.7e-07   15.7   3.7   1   1   1.5e-06   1.5e-06   14.9   0.2    24    87   526   599   505   662 0.75   0.00019     0.021   0.00062 ATPase family associated with various cellular activities (AAA)
Methyltransf_11      PF08241.12    96 PF3D7_1455200.1      -            205   5.3e-19   55.0   0.0   1   1   7.9e-19   7.9e-19   54.5   0.0     1    96    46   149    46   149 0.96   2.1e-15     2e-14   1.4e-16 Methyltransferase domain
N6_N4_Mtase          PF01555.18   231 PF3D7_1455200.1      -            205   6.4e-06   12.1   0.9   1   1   1.3e-05   1.3e-05   11.1   0.0    30   111   125   201   113   204 0.71     0.038     0.038    0.0011 DNA methylase
Caleosin             PF05042.13   170 PF3D7_1421800        -            371   4.1e-05    9.7   2.1   1   1   8.2e-05   8.2e-05    8.8   2.1    44   162   181   295   170   298 0.77      0.45         1         1 Caleosin related protein
IF3_C                PF00707.22    86 PF3D7_1034600        -            310   4.5e-06   12.9   3.7   1   1   3.3e-06   3.3e-06   13.3   1.4     2    43   164   205   163   246 0.74     0.009         1         1 Translation initiation factor IF-3, C-terminal domain
HTH_25               PF13413.6     62 PF3D7_1034600        -            310   2.3e-05   10.5   0.0   1   1   5.6e-05   5.6e-05    9.3   0.0    17    51   216   249   214   251 0.79       0.3         1         1 Helix-turn-helix domain
CAMSAP_CH            PF11971.8     85 PF3D7_1029300        -            735   8.2e-05    8.7  10.0   1   1   5.5e-06   5.5e-06   12.5   2.7    34    81   163   210   160   213 0.85      0.03         1         1 CAMSAP CH domain
Fe_hyd_SSU           PF02256.17    56 PF3D7_1029300        -            735   3.1e-05   10.3   0.1   1   1   3.1e-05   3.1e-05   10.3   0.1    14    41   561   588   550   595 0.80      0.17         1         1 Iron hydrogenase small subunit
Lipoprotein_6        PF01441.19   170 PF3D7_0722800        -            579     2e-05   10.8   9.3   1   1   4.4e-05   4.4e-05    9.7   0.5    45   112    66   132    61   138 0.84      0.12         1         1 Lipoprotein
Fz                   PF01392.22   111 PF3D7_0722800        -            579     9e-05    9.4   4.9   1   1     3e-05     3e-05   10.9   0.4    40    90   338   390   308   416 0.75      0.16         1         1 Fz domain
CorA                 PF01544.18   292 PF3D7_1304200.1      -            468   2.6e-16   45.9   8.5   1   1   3.6e-16   3.6e-16   45.4   2.5   180   291   349   464   328   465 0.90   9.8e-13   1.6e-06     2e-08 CorA-like Mg2+ transporter protein
Aha1_N               PF09229.11   137 PF3D7_0830700        -            218     1e-05   12.0   2.2   1   1   1.7e-05   1.7e-05   11.3   2.2    56   113    78   133    74   171 0.79     0.023         1         1 Activator of Hsp90 ATPase, N-terminal
SRP_SPB              PF02978.19    99 PF3D7_0830700        -            218   4.1e-06   13.7   0.0   1   1   7.1e-06   7.1e-06   12.9   0.0    39    82   134   178   105   180 0.79     0.015     0.023   0.00071 Signal peptide binding domain
ETRAMP               PF09716.10    83 PF3D7_1116900        -            212   4.7e-06   12.9   0.3   1   1   1.2e-05   1.2e-05   11.7   0.3    20    61    13    52    10    55 0.86    0.0025     0.049    0.0015 Malarial early transcribed membrane protein (ETRAMP)
DUF4302              PF14135.6    238 PF3D7_1116900        -            212   1.8e-05   10.8   0.0   1   1   2.3e-05   2.3e-05   10.5   0.0    45   100    65   126    24   140 0.79      0.13         1         1 Domain of unknown function (DUF4302)
AlphaC_N             PF08829.10   106 PF3D7_1116900        -            212   1.1e-06   14.9   0.0   1   1   2.3e-06   2.3e-06   13.9   0.0     2    79    99   179    98   192 0.81     0.013         1         1 Alpha C protein N terminal
Stevor               PF17410.2    275 PF3D7_0114600        -            312  2.4e-120  387.3   6.4   1   1  2.8e-120  2.8e-120  387.0   6.4     1   275    31   308    31   308 0.97  5.4e-118  6.2e-115  1.1e-116 Subtelomeric Variable Open Reading frame
LRRC37AB_C           PF14914.6    147 PF3D7_1103000        -             91   1.6e-06   14.3   0.6   1   1   1.8e-06   1.8e-06   14.1   0.6    89   144    14    69     2    72 0.69    0.0098         1         1 LRRC37A/B like protein 1 C-terminal domain
CRAL_TRIO_2          PF13716.6    138 PF3D7_1007200        -            593     6e-48  148.7   3.7   1   1   8.6e-48   8.6e-48  148.2   1.2     1   138    46   182    46   182 0.97   4.7e-44         1         1 Divergent CRAL/TRIO domain
RhoGAP               PF00620.27   152 PF3D7_1007200        -            593   9.4e-24   70.2   0.1   1   1   2.7e-23   2.7e-23   68.7   0.1     1   147   215   360   215   364 0.93   1.5e-19         1         1 RhoGAP domain
OFCC1                PF15680.5    109 PF3D7_0107900        -            275   9.5e-06   12.5   1.5   1   1     2e-05     2e-05   11.4   1.1    35    99    30    95    14   106 0.80      0.11         1         1 Orofacial cleft 1 candidate gene 1 protein
zf-CCCH_4            PF18044.1     22 PF3D7_0818100        -            538   5.3e-05    9.4   8.9   1   1   1.4e-05   1.4e-05   11.1   0.5     7    21    24    39    18    40 0.86     0.019     0.054    0.0016 CCCH-type zinc finger
Nab2p_Zf1            PF18260.1     26 PF3D7_0818100        -            538   3.7e-06   13.1   0.8   1   1   1.2e-05   1.2e-05   11.5   0.8    15    26   113   124   112   124 0.95     0.065         1         1 Nuclear polyadenylated RNA-binding 2 protein CCCH zinc finger 1
Hyccin               PF09790.9    321 PF3D7_1252700        -            450   1.5e-05   10.3   0.0   1   1   2.8e-05   2.8e-05    9.4   0.0   196   282    29   112     1   127 0.65      0.15         1         1 Hyccin
PRESAN               PF09687.10   125 PF3D7_1252700        -            450   2.1e-27   82.4  18.8   1   1   2.1e-27   2.1e-27   82.4  18.8     2   123   170   293   169   294 0.97   8.2e-25     4e-24   1.9e-26 Plasmodium RESA N-terminal
Cgr1                 PF03879.14   108 PF3D7_1252700        -            450   6.7e-05    9.5   5.6   1   1   4.6e-05   4.6e-05   10.1   0.7    10    59   283   329   276   337 0.79      0.25         1         1 Cgr1 family
PRESAN               PF09687.10   125 PF3D7_0601500        -            467   1.9e-22   66.4  12.2   1   1   1.9e-22   1.9e-22   66.4  12.2     4   125   171   294   168   294 0.94   2.4e-20   3.3e-19   2.2e-21 Plasmodium RESA N-terminal
ShlB                 PF03865.13   312 PF3D7_0601500        -            467   2.4e-06   13.3   2.6   1   1   3.5e-06   3.5e-06   12.7   2.6    88   147   355   414   352   422 0.94     0.019         1         1 Haemolysin secretion/activation protein ShlB/FhaC/HecB
zf-ZPR1              PF03367.13   159 PF3D7_1358500        -            613   1.2e-89  284.4  19.6   1   2   7.2e-41   7.2e-41  125.9   4.7     1   126    22   157    22   205 0.82     2e-37         1         1 ZPR1 zinc-finger domain
zf-ZPR1              PF03367.13   159 PF3D7_1358500        -            613   1.2e-89  284.4  19.6   2   2   7.7e-51   7.7e-51  158.3   3.0     1   158   399   577   399   578 0.88   4.2e-47   3.9e-37   5.2e-39 ZPR1 zinc-finger domain
BING4CT              PF08149.11    79 PF3D7_1148900        -             89   1.5e-05   11.1   0.2   1   1   2.8e-05   2.8e-05   10.2   0.2    54    73     4    23     2    28 0.90     0.076         1         1 BING4CT (NUC141) domain
LGT                  PF01790.18   242 PF3D7_1148900        -             89   1.6e-05   10.3   0.1   1   1   1.6e-05   1.6e-05   10.4   0.1   158   201    35    86     4    89 0.68     0.087         1         1 Prolipoprotein diacylglyceryl transferase
DUF1514              PF07438.11    62 PF3D7_1473000        -            125   2.3e-05   10.5   0.8   1   1   4.4e-05   4.4e-05    9.6   0.1     4    26    20    42    17    51 0.88      0.24         1         1 Protein of unknown function (DUF1514)
TCR_zetazeta         PF11628.8     31 PF3D7_1473000        -            125   1.7e-05   10.8   0.0   1   1   1.7e-05   1.7e-05   10.8   0.0    17    30    56    69    55    70 0.89     0.092         1         1 T-cell surface glycoprotein CD3 zeta chain
ATP-synt_E           PF05680.12    96 PF3D7_1473000        -            125   3.8e-06   13.5   1.3   1   1   5.8e-06   5.8e-06   12.9   1.3    34    76    70   112    58   124 0.74     0.032      0.35    0.0091 ATP synthase E chain
Maf                  PF02545.14   166 PF3D7_1313700        -            264   4.8e-54  168.8   0.0   1   1   5.8e-54   5.8e-54  168.6   0.0     2   165    22   255    21   256 0.96   3.2e-50   1.1e-25   7.8e-28 Maf-like protein
Ubiq_cyt_C_chap      PF03981.12   141 PF3D7_1435900        -            313   2.3e-10   26.9   0.0   1   1   4.6e-10   4.6e-10   25.9   0.0    13   141   176   305   168   305 0.94   1.3e-06     0.065     0.002 Ubiquinol-cytochrome C chaperone
DUF2604              PF10790.9     76 PF3D7_0723900        -           1222   3.9e-05   10.2   2.9   1   1   8.5e-05   8.5e-05    9.1   1.3    26    54    41    69    34    76 0.84      0.23         1         1 Protein of Unknown function (DUF2604)
RRM_1                PF00076.22    70 PF3D7_0723900        -           1222   5.4e-13   34.9   4.8   1   2   6.4e-05   6.4e-05    9.1   0.1     8    69   131   186   124   187 0.82     0.003      0.12     0.004 RNA recognition motif. (a.k.a. RRM, RBD, or RNP domain)
RRM_1                PF00076.22    70 PF3D7_0723900        -           1222   5.4e-13   34.9   4.8   2   2   3.4e-10   3.4e-10   26.0   0.2    11    69   871   924   858   925 0.86   2.3e-08   4.6e-07   6.6e-09 RNA recognition motif. (a.k.a. RRM, RBD, or RNP domain)
DIX                  PF00778.17    81 PF3D7_1421000        -            177     9e-23   66.3   0.1   1   1   1.8e-22   1.8e-22   65.3   0.1     2    80     4    84     3    85 0.93   9.8e-19   9.2e-05   2.7e-06 DIX domain
MNR                  PF15718.5    960 PF3D7_1421000        -            177   2.6e-06   11.9   0.1   1   1     3e-06     3e-06   11.7   0.1   598   655    75   133    64   161 0.74     0.016         1         1 Protein moonraker
EMC3_TMCO1           PF01956.16   170 PF3D7_1360200        -            257   4.8e-48  149.3   1.7   1   1   7.1e-48   7.1e-48  148.7   1.7     2   165     4   186     3   195 0.97   3.9e-44   2.8e-38   1.5e-40 Integral membrane protein EMC3/TMCO1-like
DUF5476              PF17570.2     62 PF3D7_0516200        -            151   1.1e-05   12.1   1.7   1   1   2.3e-05   2.3e-05   11.0   0.2     4    23     3    22     2    32 0.88      0.13         1         1 Family of unknown function (DUF5476)
Ribosomal_S11        PF00411.19   110 PF3D7_0516200        -            151   1.8e-51  159.5   0.7   1   1   2.3e-51   2.3e-51  159.1   0.7     1   110    29   147    29   147 0.99   1.3e-47   0.00014   3.9e-06 Ribosomal protein S11
MORN                 PF02493.20    23 PF3D7_1106800        -           1501   9.2e-07   15.0   0.7   1   1   5.8e-06   5.8e-06   12.5   0.1     3    20    47    64    45    67 0.86   0.00083    0.0076   0.00024 MORN repeat
SAM_2                PF07647.17    66 PF3D7_1106800        -           1501   2.6e-10   26.7   0.3   1   1   8.3e-10   8.3e-10   25.0   0.3     2    66   299   364   298   364 0.96   4.5e-06   6.4e-06   9.2e-08 SAM domain (Sterile alpha motif)
Pkinase_Tyr          PF07714.17   259 PF3D7_1106800        -           1501   2.8e-28   85.0  24.9   1   3     2e-09     2e-09   23.2   3.8    12    96   841   931   835  1005 0.77   1.6e-06         1         1 Protein tyrosine kinase
Pkinase_Tyr          PF07714.17   259 PF3D7_1106800        -           1501   2.8e-28   85.0  24.9   2   3   1.2e-11   1.2e-11   30.4   0.3    88   152  1224  1314  1162  1343 0.85   1.3e-08   8.6e-07   9.8e-09 Protein tyrosine kinase
Pkinase_Tyr          PF07714.17   259 PF3D7_1106800        -           1501   2.8e-28   85.0  24.9   3   3   1.6e-16   1.6e-16   46.4   0.0   166   258  1386  1478  1367  1479 0.84   2.2e-13   6.5e-08   6.6e-10 Protein tyrosine kinase
Zn_Tnp_IS1595        PF12760.7     46 PF3D7_0206600        -            106   2.4e-12   33.0   8.0   1   2   7.1e-08   7.1e-08   18.7   1.7    19    45     3    29     2    30 0.92   0.00039         1         1 Transposase zinc-ribbon domain
FAM163               PF15069.6    163 PF3D7_0206600        -            106   7.7e-05    9.4   5.1   1   1   2.5e-05   2.5e-05   10.9   2.5    66   106    41    81    15    92 0.72      0.14         1         1 FAM163 family
TFIIS_C              PF01096.18    39 PF3D7_0206600        -            106   5.3e-25   73.4   1.3   1   1   5.3e-25   5.3e-25   73.4   1.3     2    39    68   105    67   105 0.97   2.9e-21   3.4e-17   2.5e-19 Transcription factor S-II (TFIIS)
VWA_N                PF08399.11   123 PF3D7_0622000        -            212   5.2e-05   10.0   0.1   1   1   5.2e-05   5.2e-05   10.0   0.1    87   111    28    53    22    56 0.82      0.28         1         1 VWA N-terminal
Folate_rec           PF03024.14   172 PF3D7_0622000        -            212   8.2e-05    8.7   8.4   1   1   2.5e-05   2.5e-05   10.4   2.7    99   149    50   103    33   117 0.88      0.14         1         1 Folate receptor family
EMC3_TMCO1           PF01956.16   170 PF3D7_0622000        -            212   3.9e-06   12.9   1.9   1   1   6.9e-06   6.9e-06   12.1   1.9    52   111   123   199    95   209 0.83    0.0094         1         1 Integral membrane protein EMC3/TMCO1-like
BCAS2                PF05700.11   206 PF3D7_0614400        -            255   7.1e-33  100.1  16.2   1   1   1.2e-32   1.2e-32   99.4  16.2     2   195    49   244    48   253 0.90   6.5e-29     0.032   0.00092 Breast carcinoma amplified sequence 2 (BCAS2)
Amidase              PF01425.21   451 PF3D7_0416100        -            826   1.6e-83  267.1   0.0   1   2   1.4e-73   1.4e-73  234.4   0.0    10   225   205   416   199   431 0.89   7.6e-70   7.6e-07   9.1e-09 Amidase
Amidase              PF01425.21   451 PF3D7_0416100        -            826   1.6e-83  267.1   0.0   2   2   1.4e-10   1.4e-10   26.7   0.0   226   447   536   795   507   799 0.74   3.8e-07    0.0039   0.00014 Amidase
Ank_2                PF12796.7     83 PF3D7_1472200        -           2251   1.9e-05   11.5   4.1   1   1   1.4e-05   1.4e-05   11.9   0.3    20    76   562   627   546   631 0.73    0.0027     0.049    0.0015 Ankyrin repeats (3 copies)
Presenilin           PF01080.17   398 PF3D7_1472200        -           2251   1.1e-07   17.0   4.8   1   1   1.1e-07   1.1e-07   17.0   4.8   229   311   657   739   624   839 0.50   0.00012      0.02   0.00061 Presenilin
DUF357               PF04010.13    73 PF3D7_1472200        -           2251   1.6e-05   11.3   0.2   1   1   9.5e-05   9.5e-05    8.8   0.2     6    48   732   773   729   777 0.75      0.26         1         1 Protein of unknown function (DUF357)
Hist_deacetyl        PF00850.19   307 PF3D7_1472200        -           2251   6.1e-60  189.3   0.1   1   1   6.1e-60   6.1e-60  189.3   0.1     2   298  1280  1900  1279  1908 0.86   1.7e-56     5e-33   2.1e-35 Histone deacetylase domain
DUF4200              PF13863.6    119 PF3D7_1023600        -            512   1.1e-11   31.4  25.9   1   1   1.1e-11   1.1e-11   31.4  25.9     3   117   140   254   138   256 0.94     3e-08         1         1 Domain of unknown function (DUF4200)
zf-A20               PF01754.16    24 PF3D7_0818500        -            191   3.6e-17   48.4   8.4   1   1   3.6e-17   3.6e-17   48.4   8.4     1    24    13    36    13    36 0.97     2e-13         1         1 A20-like zinc finger
SEN1_N               PF12726.7    752 PF3D7_0818500        -            191   9.1e-06   10.1   1.0   1   1   1.1e-05   1.1e-05    9.8   1.0    12    67    31    94    29   113 0.64      0.06         1         1 SEN1 N terminal
Vps39_2              PF10367.9    109 PF3D7_0818500        -            191   6.7e-05    9.6   6.1   1   1   1.8e-05   1.8e-05   11.5   1.4    58    90   100   141    57   154 0.63     0.049         1         1 Vacuolar sorting protein 39 domain 2
zf-AN1               PF01428.16    40 PF3D7_0818500        -            191   8.9e-13   34.6  10.1   1   1   8.9e-13   8.9e-13   34.6  10.1     1    40   132   169   132   169 0.95   1.6e-09         1         1 AN1-like Zinc finger
YMF19                PF02326.15    86 PF3D7_1125000        -            290   1.2e-05   12.4   8.9   1   1   3.4e-05   3.4e-05   10.9   8.9    12    69     7    69     6    81 0.67      0.18      0.21     0.007 Plant ATP synthase F0
Lipid_DES            PF08557.10    37 PF3D7_1125000        -            290   8.4e-06   11.6   0.0   1   1   2.5e-05   2.5e-05   10.0   0.0     8    21    79    92    72    95 0.87      0.14         1         1 Sphingolipid Delta4-desaturase (DES)
LUC7                 PF03194.15   251 PF3D7_1452700        -            336   1.9e-73  233.3  18.1   1   1   1.9e-73   1.9e-73  233.3  18.1     2   249     3   236     2   240 0.94     1e-69         1         1 LUC7 N_terminus
RabGAP-TBC           PF00566.18   215 PF3D7_0907200        -           1133   1.1e-56  178.0  14.5   1   1   1.1e-56   1.1e-56  178.0  14.5     1   214   311   513   311   514 0.88     3e-53   1.4e-49   1.2e-51 Rab-GTPase-TBC domain
BRAP2                PF07576.12    99 PF3D7_0722300        -           1221   9.2e-09   21.8  18.0   1   2   2.8e-07   2.8e-07   17.0   1.0     3    72   165   231   163   239 0.87    0.0015     0.013   0.00041 BRCA1-associated protein 2
BRAP2                PF07576.12    99 PF3D7_0722300        -           1221   9.2e-09   21.8  18.0   2   2   2.6e-06   2.6e-06   13.9   2.2    41    75   502   537   476   551 0.77    0.0071      0.17    0.0056 BRCA1-associated protein 2
zf-UBP               PF02148.19    64 PF3D7_0722300        -           1221   6.3e-18   51.2  10.7   1   1   6.3e-18   6.3e-18   51.2  10.7     1    61   903   962   903   965 0.96   3.4e-14   1.1e-11   1.7e-13 Zn-finger in ubiquitin-hydrolases and other protein
Ac76                 PF05814.11    83 PF3D7_0319600        -            156   1.7e-05   11.1   0.6   1   1   7.8e-05   7.8e-05    9.0   0.2    41    71    12    43     8    48 0.80      0.14         1         1 Orf76 (Ac76)
EF1_GNE              PF00736.19    90 PF3D7_0319600        -            156     4e-37  112.6   1.1   1   1   6.5e-37   6.5e-37  112.0   1.1     1    90    45   156    45   156 0.97   3.5e-33   2.2e-29   1.1e-31 EF-1 guanine nucleotide exchange domain
B-block_TFIIIC       PF04182.12    75 PF3D7_0403400        -           3825   1.5e-10   27.5  20.7   1   1   1.5e-10   1.5e-10   27.5  20.7     3    55   139   261   137   307 0.73   8.2e-07      0.36    0.0091 B-block binding subunit of TFIIIC
HTH_24               PF13412.6     48 PF3D7_0403400        -           3825   6.6e-06   12.0   2.0   1   1     2e-05     2e-05   10.4   0.1    17    47   716   746   715   747 0.95      0.11         1         1 Winged helix-turn-helix DNA-binding
